Date,Mkt-RF,SMB,HML,RMW,CMA,RF
23/05/2016,-0.18,0.24,-0.32,-0.24,0.14,0.001
24/05/2016,1.43,0.64,-0.35,-0.1,-0.4,0.001
25/05/2016,0.72,-0.12,0.56,0.24,-0.15,0.001
26/05/2016,-0.04,-0.16,-0.54,0.15,-0.2,0.001
27/05/2016,0.49,0.36,-0.17,-0.11,-0.1,0.001
31/05/2016,-0.01,0.47,-0.37,-0.21,-0.29,0.001
01/06/2016,0.2,0.63,-0.2,-0.29,0.02,0.001
02/06/2016,0.35,0.26,-0.58,-0.21,0.05,0.001
03/06/2016,-0.38,-0.21,-0.07,0.51,0.16,0.001
06/06/2016,0.6,0.72,0.31,-0.17,-0.12,0.001
07/06/2016,0.12,0.2,0.1,0.35,0.23,0.001
08/06/2016,0.37,0.44,-0.09,0.02,-0.1,0.001
09/06/2016,-0.27,-0.44,-0.24,0.32,0.16,0.001
10/06/2016,-1.05,-0.38,-0.18,0.18,0.57,0.001
13/06/2016,-0.84,-0.36,0.12,-0.24,-0.06,0.001
14/06/2016,-0.19,0.13,-0.72,0.29,0.09,0.001
15/06/2016,-0.11,0.24,-0.03,-0.08,0.09,0.001
16/06/2016,0.24,-0.32,-0.45,0.25,0.33,0.001
17/06/2016,-0.3,0.06,0.95,0.42,0.48,0.001
20/06/2016,0.71,0.6,0.02,-0.19,0.09,0.001
21/06/2016,0.21,-0.62,0.5,-0.19,-0.03,0.001
22/06/2016,-0.2,-0.31,0.08,0.07,-0.03,0.001
23/06/2016,1.45,0.56,0.47,-0.56,-0.24,0.001
24/06/2016,-3.7,0.02,-1.22,0.98,0.19,0.001
27/06/2016,-2.07,-1.08,-0.72,0.58,0.45,0.001
28/06/2016,1.76,-0.36,0.16,-0.62,-0.52,0.001
29/06/2016,1.8,0.31,-0.03,-0.12,-0.32,0.001
30/06/2016,1.42,0.38,0.42,-0.1,0.3,0.001
01/07/2016,0.24,0.47,-0.43,-0.07,0.27,0.001
05/07/2016,-0.85,-0.84,-1.37,0.61,-0.71,0.001
06/07/2016,0.62,0.18,-0.13,-0.05,-0.17,0.001
07/07/2016,0.02,0.32,-0.18,0.13,-0.28,0.001
08/07/2016,1.6,0.98,0.32,0.02,0.29,0.001
11/07/2016,0.43,0.68,0.27,0.32,-0.08,0.001
12/07/2016,0.75,0.75,0.99,-0.59,0.67,0.001
13/07/2016,-0.05,-0.47,0.49,0.51,-0.02,0.001
14/07/2016,0.51,-0.41,0.45,-0.02,0.03,0.001
15/07/2016,-0.05,0.29,0,-0.29,0,0.001
18/07/2016,0.25,0.01,-0.15,0.05,-0.2,0.001
19/07/2016,-0.22,-0.64,0.04,0.46,-0.24,0.001
20/07/2016,0.48,0.39,-0.89,-0.05,-0.35,0.001
21/07/2016,-0.38,-0.05,-0.04,0.16,0.03,0.001
22/07/2016,0.48,0.28,-0.13,0.4,-0.28,0.001
25/07/2016,-0.27,-0.04,-0.23,0.44,-0.4,0.001
26/07/2016,0.13,0.61,0.54,-0.54,0.71,0.001
27/07/2016,-0.14,0.5,-0.43,-0.15,-0.56,0.001
28/07/2016,0.18,-0.53,-0.33,-0.1,-0.15,0.001
29/07/2016,0.17,-0.05,0.01,-0.01,0.35,0.001
01/08/2016,-0.16,0.06,-0.9,0.47,-0.74,0.001
02/08/2016,-0.7,-0.61,0.18,-0.42,0.17,0.001
03/08/2016,0.45,0.61,0.81,-0.71,0.17,0.001
04/08/2016,0.05,0.07,-0.39,0.17,0.07,0.001
05/08/2016,0.93,0.55,0.99,-0.58,-0.34,0.001
08/08/2016,-0.06,0.11,0.5,0.06,0.45,0.001
09/08/2016,0.05,-0.07,-0.27,-0.21,-0.22,0.001
10/08/2016,-0.29,-0.47,-0.18,0.62,0,0.001
11/08/2016,0.54,0.14,0.03,-0.32,0.21,0.001
12/08/2016,-0.06,0.14,-0.17,-0.14,-0.28,0.001
15/08/2016,0.39,0.82,0.39,-0.28,0.4,0.001
16/08/2016,-0.57,-0.2,0.59,-0.09,0.33,0.001
17/08/2016,0.12,-0.51,0.26,0.02,0.05,0.001
18/08/2016,0.32,0.49,0.34,-0.47,0.37,0.001
19/08/2016,-0.11,0.07,-0.14,0.22,-0.14,0.001
22/08/2016,-0.02,0.23,-0.4,0.01,-0.36,0.001
23/08/2016,0.27,0.55,-0.02,-0.02,0.06,0.001
24/08/2016,-0.56,-0.46,0.37,0.44,-0.09,0.001
25/08/2016,-0.08,0.21,0.48,-0.26,0.28,0.001
26/08/2016,-0.15,0.11,-0.09,-0.39,-0.2,0.001
29/08/2016,0.53,0,0.34,-0.08,0.2,0.001
30/08/2016,-0.14,0.22,0.29,-0.12,-0.32,0.001
31/08/2016,-0.24,-0.36,0.14,0.26,-0.35,0.001
01/09/2016,0.03,0.07,-0.5,0.1,-0.14,0.001
02/09/2016,0.53,0.44,0.35,-0.13,0.19,0.001
06/09/2016,0.26,0.03,-0.54,-0.62,0.03,0.001
07/09/2016,0.09,0.62,0.02,-0.06,-0.25,0.001
08/09/2016,-0.18,0.04,0.59,-0.84,0.41,0.001
09/09/2016,-2.47,-0.57,0.41,0.03,-0.44,0.001
12/09/2016,1.44,-0.04,-0.45,-0.15,-0.18,0.001
13/09/2016,-1.48,-0.31,-0.43,0.55,-0.7,0.001
